Player,Rk,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2,Matches
Harrison Reed,425,engENG,MF,Fulham,30-102,1995,12,0,109,1.2,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,1,4,7,0.00,0.00,0.00,0.00,0.00,0.21,0.07,0.27,0.21,0.27,Matches
Harry Amass,20,engENG,DF,Manchester Utd,18-054,2007,4,3,256,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,9,5,17,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,Matches
Harry Clarke,100,engENG,DF,Ipswich Town,24-068,2001,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,5,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Harry Maguire,319,engENG,DF,Manchester Utd,32-065,1993,24,17,"1,539",17.1,1,0,1,1,0,0,7,0,1.4,1.4,0.3,1.7,6,43,7,0.06,0.00,0.06,0.06,0.06,0.08,0.01,0.10,0.08,0.10,Matches
Harry Toffolo,508,engENG,DF,Nott'ham Forest,29-263,1995,4,1,137,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Harry Wilson,554,wlsWAL,"FW,MF",Fulham,28-048,1997,22,10,"1,003",11.1,5,1,6,5,0,0,2,0,3.7,3.7,1.1,4.8,17,48,83,0.45,0.09,0.54,0.45,0.54,0.33,0.10,0.43,0.33,0.43,Matches
Harry Winks,555,engENG,MF,Leicester City,29-096,1996,22,17,"1,538",17.1,0,2,2,0,0,0,4,0,0.2,0.2,1.2,1.5,19,101,11,0.00,0.12,0.12,0.00,0.12,0.01,0.07,0.09,0.01,0.09,Matches
Harvey Barnes,46,engENG,FW,Newcastle Utd,27-151,1997,30,14,"1,503",16.7,9,4,13,9,0,0,0,0,6.6,6.6,3.9,10.4,80,72,172,0.54,0.24,0.78,0.54,0.78,0.39,0.23,0.62,0.39,0.62,Matches
Harvey Elliott,161,engENG,"MF,FW",Liverpool,22-035,2003,15,1,267,3.0,0,1,1,0,0,0,1,0,0.8,0.8,0.9,1.7,8,29,25,0.00,0.34,0.34,0.00,0.34,0.28,0.29,0.57,0.28,0.57,Matches
Hwang Hee-chan,232,krKOR,"MF,FW",Wolves,29-103,1996,20,5,651,7.2,2,0,2,2,0,0,0,0,0.8,0.8,0.1,0.9,15,12,41,0.28,0.00,0.28,0.28,0.28,0.11,0.02,0.13,0.11,0.13,Matches
Hákon Rafn Valdimarsson,419,isISL,GK,Brentford,23-208,2001,2,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ian Maatsen,313,nlNED,DF,Aston Villa,23-060,2002,26,8,957,10.6,1,2,3,1,0,0,2,0,0.8,0.8,2.7,3.5,27,40,91,0.09,0.19,0.28,0.09,0.28,0.07,0.25,0.33,0.07,0.33,Matches
Ibrahim Sangaré,448,ciCIV,MF,Nott'ham Forest,27-158,1997,10,4,370,4.1,0,1,1,0,0,0,3,0,0.0,0.0,0.4,0.4,0,16,3,0.00,0.24,0.24,0.00,0.24,0.00,0.09,0.10,0.00,0.10,Matches
Ibrahima Konaté,286,frFRA,DF,Liverpool,25-349,1999,28,27,"2,320",25.8,1,2,3,1,0,0,5,0,1.7,1.7,1.0,2.7,21,103,3,0.04,0.08,0.12,0.04,0.12,0.07,0.04,0.10,0.07,0.10,Matches
Idrissa Gana Gueye,192,snSEN,MF,Everton,35-225,1989,34,32,"2,794",31.0,0,3,3,0,0,0,8,0,1.1,1.1,1.7,2.8,26,134,24,0.00,0.10,0.10,0.00,0.10,0.03,0.05,0.09,0.03,0.09,Matches
Igor,246,brBRA,DF,Brighton,27-091,1998,12,9,903,10.0,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,9,44,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Iliman Ndiaye,370,snSEN,FW,Everton,25-064,2000,30,27,"2,252",25.0,7,0,7,5,2,2,3,0,5.2,3.6,1.6,5.2,81,50,115,0.28,0.00,0.28,0.20,0.20,0.21,0.06,0.27,0.15,0.21,Matches
Illia Zabarnyi,565,uaUKR,DF,Bournemouth,22-250,2002,33,32,"2,842",31.6,0,0,0,0,0,0,3,1,1.1,1.1,0.6,1.6,25,128,4,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Ismaila Sarr,451,snSEN,"MF,FW",Crystal Palace,27-073,1998,35,27,"2,482",27.6,7,4,11,7,0,0,4,0,9.1,9.1,7.1,16.2,69,79,169,0.25,0.15,0.40,0.25,0.40,0.33,0.26,0.59,0.33,0.59,Matches
Issa Diop,136,frFRA,DF,Fulham,28-120,1997,21,15,"1,339",14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,6,25,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,Matches
Jack Clarke,101,engENG,"FW,MF",Ipswich Town,24-167,2000,29,11,"1,056",11.7,0,4,4,0,0,0,2,0,1.0,1.0,2.0,2.9,32,35,47,0.00,0.34,0.34,0.00,0.34,0.08,0.17,0.25,0.08,0.25,Matches
Jack Grealish,211,engENG,"FW,MF",Manchester City,29-241,1995,19,7,720,8.0,1,1,2,1,0,0,3,0,1.1,1.1,1.8,3.0,69,52,118,0.12,0.12,0.25,0.12,0.25,0.14,0.23,0.37,0.14,0.37,Matches
Jack Harrison,227,engENG,FW,Everton,28-170,1996,31,22,"1,900",21.1,1,0,1,1,0,0,0,0,3.3,3.3,3.7,7.0,64,45,116,0.05,0.00,0.05,0.05,0.05,0.16,0.17,0.33,0.16,0.33,Matches
Jack Hinshelwood,238,engENG,"DF,MF",Brighton,20-028,2005,23,21,"1,744",19.4,2,2,4,2,0,0,5,0,1.5,1.5,1.3,2.8,18,63,47,0.10,0.10,0.21,0.10,0.21,0.08,0.07,0.14,0.08,0.14,Matches
