Player,Rk,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2,Matches
William Saliba,445,frFRA,DF,Arsenal,24-046,2001,33,33,"2,904",32.3,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,134,6,0.06,0.00,0.06,0.06,0.06,0.07,0.03,0.10,0.07,0.10,Matches
William Smallbone,472,ieIRL,MF,Southampton,25-077,2000,15,6,646,7.2,1,0,1,1,0,0,1,0,0.4,0.4,0.6,1.1,5,25,23,0.14,0.00,0.14,0.14,0.14,0.06,0.09,0.15,0.06,0.15,Matches
Willian,551,brBRA,"FW,MF",Fulham,36-273,1988,9,2,241,2.7,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,9,38,31,0.00,0.00,0.00,0.00,0.00,0.10,0.17,0.27,0.10,0.27,Matches
Willy Boly,62,ciCIV,DF,Nott'ham Forest,34-095,1991,6,1,150,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Wilson Odobert,388,frFRA,FW,Tottenham,20-162,2004,13,7,629,7.0,1,0,1,1,0,0,0,0,1.2,1.2,0.9,2.1,40,21,56,0.14,0.00,0.14,0.14,0.14,0.17,0.13,0.30,0.17,0.30,Matches
Wout Faes,174,beBEL,DF,Leicester City,27-036,1998,31,27,"2,545",28.3,1,0,1,1,0,0,4,0,1.4,1.4,0.1,1.5,12,80,1,0.04,0.00,0.04,0.04,0.04,0.05,0.00,0.05,0.05,0.05,Matches
Woyo Coulibaly,111,frFRA,DF,Leicester City,25-354,1999,4,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,3,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Yankuba Minteh,350,gmGAM,"FW,MF",Brighton,20-291,2004,29,17,"1,587",17.6,6,4,10,6,0,0,6,0,4.0,4.0,4.7,8.7,71,40,163,0.34,0.23,0.57,0.34,0.57,0.22,0.27,0.49,0.22,0.49,Matches
Yasin Ayari,39,seSWE,MF,Brighton,21-215,2003,31,19,"1,759",19.5,1,1,2,1,0,0,3,0,2.2,2.2,2.2,4.4,30,69,59,0.05,0.05,0.10,0.05,0.10,0.11,0.11,0.23,0.11,0.23,Matches
Yehor Yarmoliuk,561,uaUKR,MF,Brentford,21-069,2004,28,12,"1,196",13.3,0,0,0,0,0,0,5,0,0.6,0.6,0.9,1.5,15,52,44,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.11,0.05,0.11,Matches
Yerson Mosquera,359,coCOL,DF,Wolves,24-007,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Yoane Wissa,557,cdCOD,FW,Brentford,28-248,1996,32,31,"2,650",29.4,18,3,21,18,0,0,2,0,16.5,16.5,1.8,18.3,51,57,135,0.61,0.10,0.71,0.61,0.71,0.56,0.06,0.62,0.56,0.62,Matches
Youri Tielemans,504,beBEL,MF,Aston Villa,28-002,1997,35,35,"2,997",33.3,3,7,10,3,0,1,4,0,3.1,2.3,6.9,9.2,39,234,48,0.09,0.21,0.30,0.09,0.30,0.09,0.21,0.30,0.07,0.28,Matches
Youssef Chermiti,94,ptPOR,"FW,MF",Everton,20-350,2004,4,0,45,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,6,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches
Yukinari Sugawara,490,jpJPN,"DF,MF",Southampton,24-315,2000,29,15,"1,467",16.3,1,1,2,1,0,0,4,0,0.5,0.5,2.2,2.7,32,68,76,0.06,0.06,0.12,0.06,0.12,0.03,0.14,0.17,0.03,0.17,Matches
Yunus Emre Konak,162,trTUR,"FW,MF",Brentford,19-119,2006,9,0,41,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,2,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34,Matches
Yves Bissouma,59,mlMLI,MF,Tottenham,28-252,1996,25,16,"1,300",14.4,2,0,2,2,0,0,7,0,0.6,0.6,0.3,0.9,15,72,3,0.14,0.00,0.14,0.14,0.14,0.04,0.02,0.06,0.04,0.06,Matches
Zain Silcott-Duberry,465,msMSR,FW,Bournemouth,19-304,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Álex Moreno,357,esESP,"DF,MF",Nott'ham Forest,31-335,1993,15,11,955,10.6,0,1,1,0,0,0,2,0,0.2,0.2,1.3,1.4,26,34,34,0.00,0.09,0.09,0.00,0.09,0.02,0.12,0.13,0.02,0.13,Matches
İlkay Gündoğan,220,deGER,MF,Manchester City,34-197,1990,31,23,"2,050",22.8,0,5,5,0,0,0,1,0,2.7,2.7,2.8,5.5,57,115,86,0.00,0.22,0.22,0.00,0.22,0.12,0.12,0.24,0.12,0.24,Matches
Łukasz Fabiański,173,plPOL,GK,West Ham,40-021,1985,13,12,"1,070",11.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
