Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Chiedozie Ogbene,389,ieIRL,FW,Ipswich Town,28-008,1997,2.6,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Chiquinho,97,ptPOR,MF,Wolves,25-093,2000,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Chris Richards,431,usUSA,DF,Crystal Palace,25-042,2000,18.4,1,11,5,45.5,0.60,0.27,0.09,0.20,11.4,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches
Chris Wood,558,nzNZL,FW,Nott'ham Forest,33-153,1991,29.9,19,55,30,54.5,1.84,1.00,0.29,0.53,14.1,0,3,3,11.7,9.3,0.17,+7.3,+6.7,Matches
Christian Eriksen,166,dkDEN,MF,Manchester Utd,33-084,1992,11.4,0,11,1,9.1,0.96,0.09,0.00,0.00,24.9,2,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Christian Nørgaard,383,dkDEN,MF,Brentford,31-060,1994,28.3,5,35,12,34.3,1.24,0.42,0.14,0.42,14.3,0,0,0,3.9,3.9,0.11,+1.1,+1.1,Matches
Christian Walton,536,engENG,GK,Ipswich Town,29-181,1995,6.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Christopher Nkunku,378,frFRA,FW,Chelsea,27-176,1997,10.2,3,25,11,44.0,2.44,1.07,0.12,0.27,12.6,0,0,0,4.8,4.8,0.19,-1.8,-1.8,Matches
Cody Gakpo,191,nlNED,FW,Liverpool,26-002,1999,19.1,9,51,21,41.2,2.67,1.10,0.18,0.43,15.2,0,0,0,6.5,6.5,0.13,+2.5,+2.5,Matches
Cole Palmer,402,engENG,MF,Chelsea,23-003,2002,32.5,15,115,41,35.7,3.54,1.26,0.10,0.27,20.2,12,4,5,17.0,13.0,0.11,-2.0,-2.0,Matches
Conor Bradley,65,nirNIR,DF,Liverpool,21-304,2003,6.3,0,9,3,33.3,1.43,0.48,0.00,0.00,14.3,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Conor Chaplin,93,engENG,"MF,FW",Ipswich Town,28-082,1997,7.9,1,12,3,25.0,1.52,0.38,0.08,0.33,18.3,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
